epci2020;semaine_glissante;clage_65;ti
200023414;2020-09-17-2020-09-23;0;218.2
200030195;2020-09-17-2020-09-23;0;112.2
200039865;2020-09-17-2020-09-23;0;57.8
200040715;2020-09-17-2020-09-23;0;250.7
200046977;2020-09-17-2020-09-23;0;247.6
200054781;2020-09-17-2020-09-23;0;213.9
200054807;2020-09-17-2020-09-23;0;215.1
242100410;2020-09-17-2020-09-23;0;161.4
242900314;2020-09-17-2020-09-23;0;62.8
243100518;2020-09-17-2020-09-23;0;297.2
243300316;2020-09-17-2020-09-23;0;170.1
243400017;2020-09-17-2020-09-23;0;145.2
243500139;2020-09-17-2020-09-23;0;185.1
243700754;2020-09-17-2020-09-23;0;113.4
244200770;2020-09-17-2020-09-23;0;196.1
244400404;2020-09-17-2020-09-23;0;87.4
244500468;2020-09-17-2020-09-23;0;99.3
245400676;2020-09-17-2020-09-23;0;75
245900410;2020-09-17-2020-09-23;0;337.2
246300701;2020-09-17-2020-09-23;0;102.6
246700488;2020-09-17-2020-09-23;0;90.3
248300543;2020-09-17-2020-09-23;0;67.9
200023414;2020-09-18-2020-09-24;0;202.9
200030195;2020-09-18-2020-09-24;0;104.4
200039865;2020-09-18-2020-09-24;0;55.4
200040715;2020-09-18-2020-09-24;0;263.9
200046977;2020-09-18-2020-09-24;0;246.6
200054781;2020-09-18-2020-09-24;0;213.7
200054807;2020-09-18-2020-09-24;0;211.6
242100410;2020-09-18-2020-09-24;0;170.9
242900314;2020-09-18-2020-09-24;0;63.5
243100518;2020-09-18-2020-09-24;0;275.8
243300316;2020-09-18-2020-09-24;0;158.5
243400017;2020-09-18-2020-09-24;0;139.7
243500139;2020-09-18-2020-09-24;0;174
243700754;2020-09-18-2020-09-24;0;103.5
244200770;2020-09-18-2020-09-24;0;201.6
244400404;2020-09-18-2020-09-24;0;89.8
244500468;2020-09-18-2020-09-24;0;103.3
245400676;2020-09-18-2020-09-24;0;77.3
245900410;2020-09-18-2020-09-24;0;323.9
246300701;2020-09-18-2020-09-24;0;118.3
246700488;2020-09-18-2020-09-24;0;90.9
248300543;2020-09-18-2020-09-24;0;68.7
200023414;2020-09-19-2020-09-25;0;190.9
200030195;2020-09-19-2020-09-25;0;94.6
200039865;2020-09-19-2020-09-25;0;52.1
200040715;2020-09-19-2020-09-25;0;278.4
200046977;2020-09-19-2020-09-25;0;250.5
200054781;2020-09-19-2020-09-25;0;214.5
200054807;2020-09-19-2020-09-25;0;205.8
242100410;2020-09-19-2020-09-25;0;167.5
242900314;2020-09-19-2020-09-25;0;58.1
243100518;2020-09-19-2020-09-25;0;263.8
243300316;2020-09-19-2020-09-25;0;153.3
243400017;2020-09-19-2020-09-25;0;137.4
243500139;2020-09-19-2020-09-25;0;165.8
243700754;2020-09-19-2020-09-25;0;101.5
244200770;2020-09-19-2020-09-25;0;211.8
244400404;2020-09-19-2020-09-25;0;92.4
244500468;2020-09-19-2020-09-25;0;105.4
245400676;2020-09-19-2020-09-25;0;73.1
245900410;2020-09-19-2020-09-25;0;311.7
246300701;2020-09-19-2020-09-25;0;120.6
246700488;2020-09-19-2020-09-25;0;91.5
248300543;2020-09-19-2020-09-25;0;62
200023414;2020-09-20-2020-09-26;0;182.2
200030195;2020-09-20-2020-09-26;0;94.6
200039865;2020-09-20-2020-09-26;0;52.1
200040715;2020-09-20-2020-09-26;0;280.5
200046977;2020-09-20-2020-09-26;0;248.1
200054781;2020-09-20-2020-09-26;0;213.7
200054807;2020-09-20-2020-09-26;0;199.8
242100410;2020-09-20-2020-09-26;0;172.4
242900314;2020-09-20-2020-09-26;0;59.5
243100518;2020-09-20-2020-09-26;0;260.2
243300316;2020-09-20-2020-09-26;0;149.3
243400017;2020-09-20-2020-09-26;0;144.6
243500139;2020-09-20-2020-09-26;0;164
243700754;2020-09-20-2020-09-26;0;97.2
244200770;2020-09-20-2020-09-26;0;215
244400404;2020-09-20-2020-09-26;0;93.6
244500468;2020-09-20-2020-09-26;0;105.2
245400676;2020-09-20-2020-09-26;0;71.9
245900410;2020-09-20-2020-09-26;0;317.3
246300701;2020-09-20-2020-09-26;0;124.1
246700488;2020-09-20-2020-09-26;0;93.9
248300543;2020-09-20-2020-09-26;0;60.6
200023414;2020-09-21-2020-09-27;0;179.9
200030195;2020-09-21-2020-09-27;0;95
200039865;2020-09-21-2020-09-27;0;51.7
200040715;2020-09-21-2020-09-27;0;278.9
200046977;2020-09-21-2020-09-27;0;247
200054781;2020-09-21-2020-09-27;0;212.8
200054807;2020-09-21-2020-09-27;0;198.9
242100410;2020-09-21-2020-09-27;0;160.2
242900314;2020-09-21-2020-09-27;0;57.6
243100518;2020-09-21-2020-09-27;0;257.7
243300316;2020-09-21-2020-09-27;0;147.7
243400017;2020-09-21-2020-09-27;0;143.8
243500139;2020-09-21-2020-09-27;0;161.3
243700754;2020-09-21-2020-09-27;0;96.2
244200770;2020-09-21-2020-09-27;0;216
244400404;2020-09-21-2020-09-27;0;93.1
244500468;2020-09-21-2020-09-27;0;106.9
245400676;2020-09-21-2020-09-27;0;72.6
245900410;2020-09-21-2020-09-27;0;307
246300701;2020-09-21-2020-09-27;0;126.4
246700488;2020-09-21-2020-09-27;0;92.7
248300543;2020-09-21-2020-09-27;0;60.9
200023414;2020-09-22-2020-09-28;0;159.1
200030195;2020-09-22-2020-09-28;0;86.5
200039865;2020-09-22-2020-09-28;0;49.8
200040715;2020-09-22-2020-09-28;0;278.7
200046977;2020-09-22-2020-09-28;0;237.8
200054781;2020-09-22-2020-09-28;0;209.6
200054807;2020-09-22-2020-09-28;0;186.5
242100410;2020-09-22-2020-09-28;0;160
242900314;2020-09-22-2020-09-28;0;59.7
243100518;2020-09-22-2020-09-28;0;238.9
243300316;2020-09-22-2020-09-28;0;147.5
243400017;2020-09-22-2020-09-28;0;139.8
243500139;2020-09-22-2020-09-28;0;155.1
243700754;2020-09-22-2020-09-28;0;93.6
244200770;2020-09-22-2020-09-28;0;218.6
244400404;2020-09-22-2020-09-28;0;92.5
244500468;2020-09-22-2020-09-28;0;109.2
245400676;2020-09-22-2020-09-28;0;74.2
245900410;2020-09-22-2020-09-28;0;310.2
246300701;2020-09-22-2020-09-28;0;133
246700488;2020-09-22-2020-09-28;0;80.7
248300543;2020-09-22-2020-09-28;0;55.8
