dep,jour,pop,p,cl_age90
01,2020-05-13,656955.00,9,0
01,2020-05-13,83001.00,0,09
01,2020-05-13,84665.00,1,19
01,2020-05-13,65496.00,0,29
01,2020-05-13,85588.00,1,39
01,2020-05-13,89678.00,0,49
01,2020-05-13,89791.00,0,59
01,2020-05-13,73500.00,0,69
01,2020-05-13,51011.00,1,79
01,2020-05-13,26830.00,4,89
01,2020-05-13,7395.00,2,90
02,2020-05-13,526050.00,14,0
02,2020-05-13,62312.00,0,09
02,2020-05-13,67540.00,0,19
02,2020-05-13,51443.00,1,29
02,2020-05-13,62599.00,3,39
02,2020-05-13,64812.00,2,49
02,2020-05-13,70352.00,1,59
02,2020-05-13,69077.00,1,69
02,2020-05-13,45371.00,2,79
02,2020-05-13,25627.00,3,89
02,2020-05-13,6917.00,1,90
03,2020-05-13,331315.00,0,0
03,2020-05-13,30871.00,0,09
03,2020-05-13,35788.00,0,19
03,2020-05-13,28141.00,0,29
03,2020-05-13,33349.00,0,39
03,2020-05-13,39464.00,0,49
03,2020-05-13,45840.00,0,59
03,2020-05-13,48958.00,0,69
03,2020-05-13,38220.00,0,79
03,2020-05-13,23577.00,0,89
03,2020-05-13,7107.00,0,90
04,2020-05-13,165197.00,1,0
04,2020-05-13,16220.00,0,09
04,2020-05-13,18061.00,0,19
04,2020-05-13,13269.00,0,29
04,2020-05-13,17545.00,0,39
04,2020-05-13,19525.00,1,49
04,2020-05-13,23898.00,0,59
04,2020-05-13,24485.00,0,69
04,2020-05-13,18808.00,0,79
04,2020-05-13,10427.00,0,89
04,2020-05-13,2959.00,0,90
05,2020-05-13,141756.00,0,0
05,2020-05-13,14582.00,0,09
05,2020-05-13,15698.00,0,19
05,2020-05-13,11715.00,0,29
05,2020-05-13,16000.00,0,39
05,2020-05-13,17800.00,0,49
05,2020-05-13,20029.00,0,59
05,2020-05-13,20216.00,0,69
05,2020-05-13,14617.00,0,79
05,2020-05-13,8430.00,0,89
05,2020-05-13,2669.00,0,90
06,2020-05-13,1079396.00,19,0
06,2020-05-13,110588.00,1,09
06,2020-05-13,116274.00,0,19
06,2020-05-13,105817.00,2,29
06,2020-05-13,126997.00,2,39
06,2020-05-13,136067.00,4,49
06,2020-05-13,146182.00,2,59
06,2020-05-13,133883.00,3,69
06,2020-05-13,114019.00,2,79
06,2020-05-13,68397.00,2,89
06,2020-05-13,21172.00,1,90
07,2020-05-13,326875.00,4,0
07,2020-05-13,33254.00,0,09
07,2020-05-13,37340.00,0,19
07,2020-05-13,26256.00,1,29
07,2020-05-13,34837.00,0,39
07,2020-05-13,41497.00,0,49
07,2020-05-13,46663.00,2,59
07,2020-05-13,47030.00,0,69
07,2020-05-13,35181.00,1,79
07,2020-05-13,19228.00,0,89
07,2020-05-13,5589.00,0,90
08,2020-05-13,265531.00,6,0
08,2020-05-13,28385.00,0,09
08,2020-05-13,31952.00,0,19
08,2020-05-13,25309.00,1,29
08,2020-05-13,30561.00,2,39
08,2020-05-13,32888.00,0,49
08,2020-05-13,37571.00,1,59
08,2020-05-13,36558.00,0,69
08,2020-05-13,24132.00,1,79
08,2020-05-13,14627.00,1,89
08,2020-05-13,3548.00,0,90
09,2020-05-13,152398.00,1,0
09,2020-05-13,14332.00,0,09
09,2020-05-13,16386.00,0,19
09,2020-05-13,12982.00,0,29
09,2020-05-13,15798.00,0,39
09,2020-05-13,18797.00,0,49
09,2020-05-13,21635.00,1,59
09,2020-05-13,22639.00,0,69
09,2020-05-13,16403.00,0,79
09,2020-05-13,10157.00,0,89
09,2020-05-13,3269.00,0,90
10,2020-05-13,309907.00,3,0
10,2020-05-13,35109.00,0,09
10,2020-05-13,39404.00,0,19
10,2020-05-13,33165.00,1,29
10,2020-05-13,36584.00,0,39
10,2020-05-13,38394.00,0,49
10,2020-05-13,39551.00,1,59
10,2020-05-13,38744.00,0,69
10,2020-05-13,28146.00,0,79
10,2020-05-13,16154.00,1,89
10,2020-05-13,4656.00,0,90
11,2020-05-13,372705.00,13,0
11,2020-05-13,36668.00,0,09
11,2020-05-13,41976.00,0,19
11,2020-05-13,30786.00,3,29
11,2020-05-13,39384.00,0,39
11,2020-05-13,45681.00,1,49
11,2020-05-13,51248.00,0,59
11,2020-05-13,54211.00,0,69
11,2020-05-13,42651.00,1,79
11,2020-05-13,23159.00,3,89
11,2020-05-13,6941.00,5,90
12,2020-05-13,278360.00,2,0
12,2020-05-13,25889.00,0,09
12,2020-05-13,30051.00,0,19
12,2020-05-13,22303.00,0,29
12,2020-05-13,28724.00,0,39
12,2020-05-13,33377.00,0,49
12,2020-05-13,39683.00,0,59
12,2020-05-13,40721.00,0,69
12,2020-05-13,30946.00,0,79
12,2020-05-13,20712.00,0,89
12,2020-05-13,5954.00,2,90
13,2020-05-13,2034469.00,63,0
13,2020-05-13,238296.00,1,09
13,2020-05-13,242619.00,1,19
13,2020-05-13,229385.00,5,29
13,2020-05-13,254362.00,7,39
13,2020-05-13,256640.00,2,49
13,2020-05-13,265649.00,8,59
13,2020-05-13,236530.00,2,69
13,2020-05-13,182685.00,12,79
13,2020-05-13,100029.00,14,89
13,2020-05-13,28274.00,10,90
14,2020-05-13,691453.00,3,0
14,2020-05-13,72169.00,0,09
14,2020-05-13,88223.00,2,19
14,2020-05-13,76688.00,0,29
14,2020-05-13,78671.00,0,39
14,2020-05-13,84964.00,0,49
14,2020-05-13,89285.00,0,59
14,2020-05-13,91001.00,0,69
14,2020-05-13,63355.00,0,79
14,2020-05-13,36325.00,0,89
14,2020-05-13,10772.00,1,90
